년월,고객ID,성별,연령대,가입일,해지일,요금제,단말기기종,상태,상태사유,신용등급,선택약정여부,요금제가격,월평균요금,데이터사용량(GB),가입자수
202503,CUST0001,F,30대,2022-08-10,0000-00-00,TVING 초이스 스페셜,Galaxy S22,정상,사용중,1등급,N,110000,85661,28.3,1
202504,CUST0002,F,10대,2021-09-08,0000-00-00,디즈니+ 초이스 스페셜,Galaxy S22,정상,사용중,2등급,Y,110000,79712,31,1
202503,CUST0003,M,20대,2022-11-25,2024-08-09,왓챠 초이스 스페셜,iPhone 14,해지,단순 해지 요청,1등급,N,110000,82473,39.7,0
202503,CUST0004,M,50대,2021-12-08,2022-08-28,지니 초이스 프리미엄,Galaxy S22,해지,요금 불만,4등급,Y,130000,85470,47.8,0
202503,CUST0005,M,60대 이상,2023-09-19,0000-00-00,지니 초이스 베이직,Galaxy S22,일시정지,일시적인 요금 부담,4등급,Y,90000,65176,23.3,1
202505,CUST0006,F,40대,2023-12-27,0000-00-00,지니 초이스 베이직,Galaxy A32,일시정지,해외 장기 출장,5등급,Y,90000,69474,13.8,1
202504,CUST0007,M,40대,2022-12-08,0000-00-00,유튜브 프리미엄 초이스 스페셜,Galaxy S22,일시정지,일시적인 요금 부담,4등급,N,110000,79092,39.4,1
202504,CUST0008,F,40대,2022-10-10,0000-00-00,디즈니+ 초이스 스페셜,LG Wing,정상,사용중,5등급,N,110000,79630,29.8,1
202504,CUST0009,F,50대,2021-02-22,2023-12-01,넷플릭스 초이스 스페셜,iPhone SE,해지,타사로 이동,5등급,Y,110000,82243,37.5,0
202505,CUST0010,M,30대,2022-01-07,0000-00-00,넷플릭스 초이스 스페셜,iPhone 14,정상,사용중,3등급,Y,110000,86295,33.2,1
202505,CUST0011,M,60대 이상,2024-06-17,0000-00-00,디즈니+ 초이스 스페셜,Galaxy Z Flip5,일시정지,해외 장기 출장,1등급,Y,110000,79780,25.7,1
202504,CUST0012,M,10대,2022-04-30,0000-00-00,TVING 초이스 프리미엄,iPhone 14,일시정지,사용 중단 예정,2등급,Y,130000,87386,50.8,1
202505,CUST0013,M,60대 이상,2022-07-28,2023-03-28,유튜브 프리미엄 초이스 스페셜,LG Wing,해지,요금 불만,4등급,N,110000,82403,37.6,0
202505,CUST0014,M,50대,2020-06-26,0000-00-00,유튜브 프리미엄 초이스 스페셜,iPhone SE,정상,사용중,4등급,Y,110000,80863,37.7,1
202505,CUST0015,F,10대,2022-02-13,0000-00-00,TVING 초이스 베이직,Galaxy Z Flip5,일시정지,일시적인 요금 부담,5등급,Y,90000,68191,24,1
202504,CUST0016,F,60대 이상,2023-10-11,0000-00-00,지니 초이스 베이직,Galaxy S22,일시정지,일시적인 요금 부담,5등급,Y,90000,68347,13.8,1
202503,CUST0017,F,60대 이상,2024-05-19,2023-05-13,넷플릭스 초이스 프리미엄,Galaxy Z Flip5,해지,단순 해지 요청,2등급,Y,130000,80961,46,0
202504,CUST0018,M,20대,2020-06-29,0000-00-00,지니 초이스 베이직,Galaxy A32,일시정지,해외 장기 출장,4등급,Y,90000,66926,17,1
202503,CUST0019,M,30대,2023-08-30,0000-00-00,왓챠 초이스 프리미엄,Galaxy S22,일시정지,단말기 분실,1등급,N,130000,86061,55.3,1
202503,CUST0020,M,40대,2022-12-18,0000-00-00,지니 초이스 베이직,iPhone SE,정상,사용중,5등급,Y,90000,65538,22.4,1
202504,CUST0021,F,10대,2022-07-05,0000-00-00,유튜브 프리미엄 초이스 프리미엄,Galaxy S22,일시정지,일시적인 요금 부담,1등급,Y,130000,82265,57.9,1
202505,CUST0022,M,40대,2023-12-30,0000-00-00,지니 초이스 베이직,Galaxy A32,일시정지,사용 중단 예정,1등급,Y,90000,69060,17.3,1
202503,CUST0023,M,40대,2024-10-29,0000-00-00,디즈니+ 초이스 스페셜,Galaxy S22,일시정지,사용 중단 예정,5등급,Y,110000,81458,37.3,1
202505,CUST0024,F,20대,2025-02-06,0000-00-00,왓챠 초이스 스페셜,iPhone SE,일시정지,일시적인 요금 부담,3등급,Y,110000,82586,32,1
202503,CUST0025,F,40대,2022-09-23,2023-01-18,지니 초이스 스페셜,Galaxy Z Flip5,해지,요금 불만,3등급,Y,110000,86112,35.6,0
202505,CUST0026,F,30대,2023-08-05,2024-02-18,디즈니+ 초이스 프리미엄,Galaxy Z Flip5,해지,타사로 이동,4등급,Y,130000,81064,47.4,0
202503,CUST0027,F,20대,2022-01-08,0000-00-00,넷플릭스 초이스 프리미엄,Galaxy A32,정상,사용중,3등급,N,130000,84371,51.1,1
